1353	locationE1's current-account surplus, the broadest measure of the nation's trade with the rest of the world, shrank for the first time in two months in June, as high global oil prices inflated the value of imports.	locationE1	-1
1137	” locationC1 headline locationE1 manufacturing index eased to a nine-month low, although most economists remained sanguine about the outlook for the sector.	locationE1	-1
637	The unit, which changed its name from locationC1  on June 10 after locationC2  of locationC3 sold its stake in the venture, posted a loss of NT$5 billion last year, one of locationE1's largest-ever corporate losses.	locationE1	-1
1811	Sovereign CDS has been pricing in high default expectations , with traders quoting five-year protection this week at 1,480 bp . 		0
763	It placed EUR125m with a small group of investors in April , offering a coupon of 8.625 % . 		0
96	Lower bond yields in locationE1 have attracted buyers into U. locationC1 debt.	locationE1	-1
1142	Under a pre-underwriting deal , the banks can drop the transaction due to adverse market conditions . 		0
3817	locationC1 shares rose 3.5 percent in premarket trading.	locationC1	1
4770	locationC1 rose C$1.11 to C$28.28, locationC2 added C$1.22 to C$19.83 and locationC3 rose C$1.52 to C$35.27.	locationC1	1
2478	LONDON , March 10 ( locationC1 )ClocationC2 is expected to announce plans on Tuesday to raise the equivalent of 2 billion Additional Tier 1 bonds , becoming the first Italian bank to use these risky bonds to boost its capital base . 	locationC2	1
4911	locationC1 shares Thursday slipped 3/16 to 34 1/16, while locationC2 eased 7/16 to 29.	locationC2	-1
1287	locationC1 shows that locationC2 dividend payout ratio so far this year is 4.8% and locationC3's is 0.8%.	locationC2	1
2506	Advanced economies’ corporate debt vulnerabilities are primarily concentrated in nonbank lenders, especially in the locationE1.	locationE1	-1
1034	Presumably as a result , Bankias new bonds slipped quite dramatically and were some 14bp wider by Friday afternoon . 		-2
6810	Shares of locationC1 tumbled $6.19, or 29%, to $15 on locationC2 after the company reported first-quarter net income of $2.8 million, or 14 cents a share, compared with $800,000, or five cents a share, a year ago.	locationC1	-1
1212	* Dollar hits 14-month low vs euro and dollar index * locationC1 earnings, rising stocks boost recovery optimism * U. S. retail sales data has minimal impact (Recasts, updates prices, adds detail) locationE1, Oct 14 (locationC2) - The dollar slid to a 14-month low against a basket of currencies and the euro on Wednesday, as solid earnings by locationC3 and rising stock and commodity prices stoked optimism for an improving global economy.	locationC3	2
247	Despite continued market nervousness about local interest rates, locationE1 resurgent economy has yet to generate any serious upward pressure on consumer prices, according to the latest batch of government data.	locationE1	1
2639	* Regional banks lift financial sector * locationC1 shares rise after earnings * Housing, jobs data worse than expected * Dow up 0.9 pct, locationC2 up 1 pct, locationC3 up 0.4 pct * For up-to-the-minute market news click [locationC4/locationE1] (Updates close with locationC5, locationC6 and locationC7’s results and stock gains after the bell, updates volume ) By Chuck Mikolajczak locationE2, April 23 (locationC8) - U. S. stocks rose in volatile trade on Thursday as better-than-expected results from several regional banks lifted financial shares, overshadowing disappointing economic data and anemic outlooks from economic bellwethers like locationC9.	locationC9	-1
3089	locationC1 did not comment . 	locationC1	0
2034	locationC1 , which missed payments on bonds of about 4 billion renminbi , is likely to be the next issuer heading to the courts . 	locationC1	-2
3521	* locationE1 manufacturing contracts for 11th month * Euro service sector posts downturn * U. S. crude drops below $92 * locationC1 sees weak shipments, shares fall * Futures down: S&P 4.4 pts, Dow 33 pts, Nasdaq 6.25 pts By Edward Krudy locationE2, Sept 20 (locationC2) - U. S. stock index futures eased on Thursday as contraction in Chinese manufacturing and a downturn in Europe’s service sector underscored the headwinds faced by the global economy, even as central banks aggressively step up stimulus measures.	locationC1	-1
1848	In locationE1, the benchmark locationC1 index of 35 most-traded fell 226.81 points, or 0.9%, at 25394.69.	locationE1	-1
2561	The performance dragged down locationE1 stocks, in spite of sharp gains in market heavyweight locationC1 and locationC2.	locationE1	-1
2908	Nevertheless , investors believe a wave of corporate loan deals is about to start . 		-1
1798	This will ensure that locationE1's foreign-currency reserve requirements remain at a sufficient level, the central bank said.	locationE1	1
965	The issuer has mandated locationC1 , locationC2 , locationC3 and locationC4 to lead manage a dollar denominated transaction , according to market sources , and the transaction could emerge in the near future . 	locationC1	0
2496	locationE1 stocks also finished lower, despite a late boost from retail interest in locationE2-related shares.	locationE2	1
1803	The new regulations are also trying to reinforce the idea that the government will not assume all liabilities indiscriminately , said Wang . 		0
169	On June 3 , while Popular and locationC1 were doing final checks on the doomed ELA process , resolution authorities made contact with Santander and locationC2 , piggybacking on a failed sales process ( involved five interested parties ) that Popular had run earlier in May . 	locationC2	0
3492	But locationC1 was the latest major company to beat on bottom-line results.	locationC1	1
1618	Financial institutions are harder to assess and room for error is limited , as we have seen in the case of locationC1 and , even worse , in case of locationC2 . 	locationC2	-2
828	The combination of soft results, outflows and rising shares was repeated at locationC1 and locationC2Rowe Price.	locationC1	-1
899	locationC1, about 32%-owned by locationC2 , has operations in locationE1, Africa, the locationE2, locationE3 and locationE4.	locationE4	-1
1106	“locationE1’s exports will remain weak for the time being.	locationE1	-1
3837	In energy markets, crude oil prices rose with locationC1 May West Texas Intermediate up 25 cents to $101.83.	locationC1	1
3001	U.S. private equity giant locationC1 agreed a 320-million-euro , 7-year loan with construction materials manufacturer locationC2 in April which allowed the firm to repay bank creditors and bondholders . 	locationC1	1
3379	In fact , whichever step the central bank takes in the light of Basel norms , it will give clarity to investors at a time when Indian banks are planning US dollar Basel III-compliant offerings , Guha said . 		0
7491	locationC1's main interest in locationE1 is an alumina joint venture, locationC2, that is 60%-owned by locationC3 and 40%-owned by locationE2.	locationC1	0
1809	Also making headlines Wednesday, travel Web site locationC1 had its $316.7 million initial public offering of 12.18 million shares.	locationC1	1
